,vendorid,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Duration
83,2,1,0.62,1,N,229,162,1,4.5,0.5,0.5,1.45,0.0,0.3,7.25,3
84,2,1,0.34,1,N,237,237,2,4.0,1.0,0.5,0.0,0.0,0.3,5.8,3
85,2,2,1.29,1,N,13,87,1,6.0,1.0,0.5,1.56,0.0,0.3,9.36,425
86,2,2,1.63,1,N,249,261,1,8.0,1.0,0.5,2.45,0.0,0.3,12.25,9
87,2,2,1.9,1,N,137,249,2,11.0,1.0,0.5,0.0,0.0,0.3,12.8,15
88,2,2,1.37,1,N,233,137,1,7.5,1.0,0.5,1.25,0.0,0.3,10.55,8
89,2,1,1.6,1,N,170,229,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,11
90,2,1,1.57,1,N,230,234,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,8
91,2,1,1.08,1,N,246,230,1,6.0,0.5,0.5,1.82,0.0,0.3,9.12,5
92,2,1,1.41,1,N,142,50,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,9
93,2,5,13.24,1,N,70,62,1,38.0,0.5,0.5,7.86,0.0,0.3,47.16,449
94,2,1,28.12,2,N,13,132,1,52.0,0.0,0.5,10.0,5.76,0.3,68.56,48
95,2,2,8.86,1,N,138,233,1,26.5,1.0,0.5,6.81,5.76,0.3,40.87,441
96,2,5,4.49,1,N,236,113,1,18.0,0.5,0.5,3.86,0.0,0.3,23.16,22
97,2,5,1.95,1,N,236,75,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,8
98,2,1,4.24,1,N,170,238,1,17.5,0.5,0.5,4.7,0.0,0.3,23.5,21
99,2,1,0.7,1,N,113,234,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,4
100,2,1,1.22,1,N,113,249,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,5
101,2,1,1.23,1,N,231,113,1,6.5,1.0,0.5,1.24,0.0,0.3,9.54,6
102,2,1,1.02,1,N,43,238,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16,5
103,2,1,5.27,1,N,100,7,2,26.5,0.0,0.5,0.0,0.0,0.3,27.3,459
104,2,1,0.86,1,N,234,164,1,6.0,0.0,0.5,1.7,0.0,0.3,8.5,6
105,2,1,1.1,1,N,137,113,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16,10
106,2,1,8.66,1,N,163,54,1,38.0,0.0,0.5,7.76,0.0,0.3,46.56,540
107,2,2,5.52,1,N,50,179,1,23.0,0.0,0.5,0.0,0.0,0.3,23.8,31
108,2,5,11.94,1,N,70,265,2,32.5,0.0,0.5,0.0,0.0,0.3,33.3,18
109,2,1,6.37,1,N,170,13,1,27.0,0.0,0.5,4.5,0.0,0.3,32.3,513
110,2,1,0.92,1,N,161,170,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16,12
111,2,2,9.75,1,N,161,138,1,34.0,1.0,0.5,8.0,5.76,0.3,49.56,519
112,2,2,14.54,1,N,100,51,1,43.5,0.5,0.5,0.0,0.0,0.3,44.8,518
113,2,5,4.33,1,N,186,238,2,15.0,1.0,0.5,0.0,0.0,0.3,16.8,13
114,2,5,1.75,1,N,230,68,2,8.0,1.0,0.5,0.0,0.0,0.3,9.8,9
115,2,2,1.48,1,N,42,116,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,7
116,2,1,2.21,1,N,137,163,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16,494
117,2,1,0.36,1,N,234,137,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96,4
118,2,1,2.04,1,N,107,231,1,10.0,1.0,0.5,2.95,0.0,0.3,14.75,12
119,2,1,0.91,1,N,100,234,2,6.5,1.0,0.5,0.0,0.0,0.3,8.3,7
120,2,1,0.78,1,N,48,68,1,5.5,1.0,0.5,1.46,0.0,0.3,8.76,4
121,2,1,0.86,1,N,48,246,1,6.0,1.0,0.5,0.0,0.0,0.3,7.8,5
122,2,1,1.99,1,N,161,142,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8,497
123,2,1,1.17,1,N,161,186,1,8.0,0.0,0.5,2.2,0.0,0.3,11.0,10
124,2,2,0.63,1,N,238,239,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36,3
125,2,2,0.62,1,N,238,238,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36,3
126,2,1,1.39,1,N,229,170,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3,493
127,2,1,0.74,1,N,142,142,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16,6
128,2,1,0.73,1,N,142,142,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16,12
129,2,1,1.14,1,N,162,142,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3,13
130,2,6,1.52,1,N,186,137,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,9
131,2,2,8.32,1,N,13,236,1,25.5,0.0,0.5,2.0,0.0,0.3,30.25,20
132,2,1,2.33,1,N,107,232,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,11
133,2,1,0.75,1,N,161,163,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16,7
134,2,1,0.8,1,N,164,161,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56,4
135,2,5,2.61,1,N,70,129,2,12.0,1.0,0.5,0.0,0.0,0.3,13.8,438
136,2,1,1.65,1,N,211,90,2,9.0,1.0,0.5,0.0,0.0,0.3,10.8,10
137,2,5,1.95,1,N,161,48,1,14.0,1.0,0.5,3.16,0.0,0.3,18.96,21
138,2,5,0.76,1,N,48,170,1,6.0,1.0,0.5,1.56,0.0,0.3,9.36,5
139,2,5,0.78,1,N,164,230,1,7.5,1.0,0.5,2.32,0.0,0.3,11.62,10
140,2,2,18.13,2,N,132,42,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,456
141,2,1,2.18,1,N,140,164,1,13.5,0.5,0.5,1.0,0.0,0.3,15.8,440
142,2,1,1.6,1,N,140,162,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,16
143,2,1,1.62,1,N,246,143,1,7.0,1.0,0.5,1.0,0.0,0.3,9.8,6
144,2,1,5.88,1,N,90,146,1,18.5,0.5,0.5,0.0,0.0,0.3,19.8,17
145,2,1,0.82,1,N,211,144,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36,8
146,2,1,1.69,1,N,79,211,1,9.5,0.0,0.5,3.09,0.0,0.3,13.39,13
147,2,2,1.81,1,N,43,151,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,6
148,2,2,2.04,1,N,74,41,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8,29
149,2,2,2.18,1,N,141,74,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3,9
150,2,1,2.61,1,N,239,162,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8,443
151,2,1,1.45,1,N,163,50,1,11.0,0.0,0.5,2.0,0.0,0.3,13.8,16
152,2,1,1.53,1,N,143,237,1,12.5,0.0,0.5,3.99,0.0,0.3,17.29,19
153,2,1,0.8,1,N,230,186,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16,16
154,2,1,1.73,1,N,237,230,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,11
155,2,1,1.09,1,N,237,162,1,11.5,0.0,0.5,2.46,0.0,0.3,14.76,439
156,2,1,3.75,1,N,249,237,1,23.5,0.0,0.5,6.08,0.0,0.3,30.38,39
157,2,1,5.64,1,N,239,231,2,19.5,0.5,0.5,0.0,0.0,0.3,20.8,441
158,2,6,3.61,1,N,48,24,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,10
159,2,6,0.59,1,N,234,164,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3
160,2,6,2.56,1,N,141,234,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16,11
161,2,1,0.72,1,N,4,148,1,5.5,0.0,0.5,1.13,0.0,0.3,9.38,5
162,2,2,1.24,1,N,114,79,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,8
163,2,5,8.82,1,N,138,141,1,26.0,0.0,0.5,8.14,5.76,0.3,40.7,439
164,2,1,1.73,1,N,186,162,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8,451
165,2,1,1.29,1,N,162,100,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96,19
166,2,1,1.9,1,N,237,239,1,10.5,0.0,0.5,1.2,0.0,0.3,12.5,435
167,2,1,0.76,1,N,163,142,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16,6
168,2,1,0.99,1,N,142,163,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96,9
169,2,1,0.69,1,N,237,142,1,5.5,0.0,0.5,0.0,0.0,0.3,6.3,4
170,2,5,8.21,1,N,138,263,1,26.5,1.0,0.5,8.52,5.76,0.3,42.58,24
171,2,1,6.06,1,N,237,231,1,25.5,0.0,0.5,5.26,0.0,0.3,31.56,455
172,2,1,1.66,1,N,142,237,1,8.5,0.0,0.5,2.32,0.0,0.3,11.62,9
173,2,5,16.78,2,N,132,164,1,52.0,4.5,0.5,11.0,5.76,0.3,74.06,54
174,2,2,3.47,1,N,162,7,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,14
175,2,2,1.05,1,N,114,107,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,6
176,2,1,0.79,1,N,262,236,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,4
177,2,1,1.35,1,N,236,262,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,7
178,2,1,1.32,1,N,140,237,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,7
179,2,1,11.62,1,N,236,200,1,37.5,1.0,0.5,10.48,2.64,0.3,52.42,462
180,2,1,5.15,1,N,48,13,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3,439
181,2,1,2.0,1,N,162,236,1,8.5,0.5,0.5,2.45,0.0,0.3,12.25,6
182,2,1,2.52,1,N,246,79,2,18.5,0.0,0.5,0.0,0.0,0.3,19.3,449
183,2,1,2.26,1,N,142,246,1,13.5,0.0,0.5,2.86,0.0,0.3,17.16,18
184,2,1,1.01,1,N,100,50,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36,8
185,2,2,2.84,1,N,186,141,1,14.5,0.0,0.5,3.06,0.0,0.3,18.36,20
186,2,2,2.07,1,N,229,186,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8,16
187,2,2,1.43,1,N,263,229,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3,9
188,2,1,1.76,1,N,186,143,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96,439
189,2,1,3.18,1,N,234,141,1,13.0,0.5,0.5,4.29,0.0,0.3,18.59,436
190,2,1,2.13,1,N,4,68,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3,21
191,2,1,6.36,1,N,236,249,1,31.0,0.0,0.5,9.54,0.0,0.3,41.34,469
192,2,1,6.09,1,N,88,112,1,25.0,0.5,0.5,7.89,0.0,0.3,34.19,32
193,2,6,3.04,1,N,186,141,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,433
194,2,6,0.72,1,N,148,79,1,4.5,0.5,0.5,1.45,0.0,0.3,7.25,2
195,2,6,0.8,1,N,79,148,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,6
196,2,6,1.51,1,N,68,233,1,8.0,0.5,0.5,2.0,0.0,0.3,11.3,8
197,2,1,1.22,1,N,137,4,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,7
198,2,1,1.75,1,N,233,107,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56,7
199,2,1,2.61,1,N,161,114,1,13.0,0.0,0.5,2.76,0.0,0.3,16.56,18
200,2,2,0.83,1,N,229,229,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,6
201,2,2,0.95,1,N,262,237,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,4
202,2,2,2.0,1,N,239,236,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,11
203,2,2,1.22,1,N,141,262,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,6
204,2,2,1.9,1,N,236,238,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,10
205,2,2,1.41,1,N,161,140,1,8.0,0.5,0.5,5.0,0.0,0.3,14.3,9
206,2,1,1.01,1,N,237,161,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,15
207,2,6,2.21,1,N,43,48,1,13.0,0.5,0.5,2.86,0.0,0.3,17.16,18
208,2,5,1.0,1,N,141,263,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,3
209,2,1,3.27,1,N,114,50,1,15.5,0.5,0.5,2.0,0.0,0.3,18.8,20
210,2,1,1.94,1,N,88,232,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,7
211,2,5,3.2,1,N,262,170,1,11.0,0.5,0.5,3.69,0.0,0.3,15.99,9
212,2,6,0.93,1,N,164,170,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,10
213,2,6,0.88,1,N,249,144,1,6.0,0.5,0.5,0.0,0.0,0.3,7.3,6
214,2,1,2.57,1,N,234,246,1,18.0,0.5,0.5,3.86,0.0,0.3,23.16,29
215,2,1,3.69,1,N,43,90,1,21.5,0.5,0.5,4.56,0.0,0.3,27.36,33
216,2,1,1.47,1,N,152,42,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,7
217,2,1,0.57,1,N,144,144,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36,2
218,2,1,1.83,1,N,161,113,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,23
219,2,1,1.19,1,N,79,224,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,6
220,2,2,0.77,1,N,161,164,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,9
221,2,3,0.6,1,N,234,224,1,4.0,0.5,0.5,1.32,0.0,0.3,6.62,2
222,2,1,1.89,1,N,170,79,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,8
223,2,1,1.51,1,N,143,50,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,6
224,2,1,0.85,1,N,142,142,1,5.5,0.5,0.5,2.04,0.0,0.3,8.84,5
225,2,1,13.95,1,N,145,242,1,40.0,0.5,0.5,9.41,5.76,0.3,56.47,27
226,2,1,2.47,1,N,90,231,1,15.0,0.5,0.5,3.26,0.0,0.3,19.56,22
227,1,2,0.5,1,N,237,263,1,4.0,0.5,0.5,1.05,0.0,0.3,6.35,2
228,1,1,0.7,1,N,7,7,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3
229,1,4,3.0,1,N,140,238,1,12.0,0.5,0.5,2.65,0.0,0.3,15.95,13
230,1,2,2.3,1,N,48,43,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,12
231,2,1,0.75,1,N,87,148,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,4
232,1,2,17.3,2,N,132,161,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,38
233,1,3,15.2,1,N,132,71,1,43.5,0.5,0.5,8.95,0.0,0.3,53.75,32
234,1,2,7.2,1,N,236,173,2,24.5,0.5,0.5,0.0,0.0,0.3,25.8,24
235,2,1,18.88,2,N,132,113,1,52.0,0.0,0.5,14.64,5.76,0.3,73.2,48
236,1,1,0.6,1,N,262,263,1,4.0,0.5,0.5,1.05,0.0,0.3,6.35,1
237,1,1,0.9,1,N,107,170,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,5
238,2,1,0.79,1,N,236,238,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3
239,2,2,0.77,1,N,137,233,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3
240,1,1,26.8,1,N,132,257,1,69.5,0.5,0.5,10.0,0.0,0.3,80.8,34
241,2,1,2.33,1,N,232,170,1,14.0,0.5,0.5,3.06,0.0,0.3,18.36,20
242,2,2,12.52,1,N,166,49,1,39.0,0.5,0.5,8.06,0.0,0.3,48.36,38
243,1,3,5.4,1,N,238,79,2,19.5,0.0,0.5,0.0,0.0,0.3,20.3,21
244,1,2,1.0,1,N,158,113,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35,11
245,1,1,1.4,1,N,79,231,4,7.5,0.5,0.5,0.0,0.0,0.3,8.8,9
246,1,2,26.1,1,N,132,181,1,69.5,0.5,0.5,14.15,0.0,0.3,84.95,35
247,2,3,2.66,1,N,239,263,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,12
248,1,0,0.4,1,N,262,140,1,3.5,0.5,0.5,1.0,0.0,0.3,5.8,1
249,1,1,2.5,1,N,74,116,3,12.0,0.5,0.5,0.0,0.0,0.3,13.3,14
