,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,location
140,2,2018-12-31T23:56:30.000,2018-12-31T23:57:35.000,1,0.1,1,N,80,217,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,Noida Sec-72
141,1,2018-12-31T23:56:30.000,2019-01-01T00:05:44.000,1,2.4,1,N,263,151,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,Noida Sec-7
142,2,2018-12-31T23:56:29.000,2019-01-01T00:12:28.000,3,4.19,1,N,68,238,1,16.0,0.5,0.5,2.5,0.0,0.3,19.8,Noida Sec-22
143,2,2018-12-31T23:56:28.000,2018-12-31T23:58:59.000,1,0.79,1,N,236,75,1,4.5,0.5,0.5,0.58,0.0,0.3,6.38,Noida Sec-10
144,2,2018-12-31T23:56:27.000,2019-01-01T00:12:09.000,1,2.3,1,N,151,75,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,Noida Sec-32
145,1,2018-12-31T23:56:25.000,2019-01-01T00:01:03.000,2,0.6,1,N,142,143,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,Noida Sec-1
146,1,2018-12-31T23:56:23.000,2019-01-01T00:00:23.000,2,0.5,1,N,263,236,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,Noida Sec-7
147,2,2018-12-31T23:56:23.000,2018-12-31T23:59:54.000,1,0.31,1,N,68,90,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36,Noida Sec-22
148,2,2018-12-31T23:56:22.000,2019-01-01T00:09:53.000,1,4.32,1,N,234,87,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3,Noida Sec-34
149,1,2018-12-31T23:56:22.000,2019-01-01T00:27:56.000,1,2.8,1,N,144,164,1,19.5,0.5,0.5,4.15,0.0,0.3,24.95,Noida Sec-26
150,2,2018-12-31T23:56:22.000,2018-12-31T23:59:30.000,1,0.77,1,N,244,116,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,Noida Sec-39
151,1,2018-12-31T23:56:21.000,2019-01-01T00:03:55.000,2,1.4,1,N,68,113,1,7.0,0.5,0.5,5.0,0.0,0.3,13.3,Noida Sec-22
152,2,2018-12-31T23:56:20.000,2019-01-01T00:05:52.000,1,2.03,1,N,243,247,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,Noida Sec-55
153,2,2018-12-31T23:56:19.000,2018-12-31T23:56:24.000,2,0.0,1,N,148,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,Noida Sec-14
154,2,2018-12-31T23:56:18.000,2018-12-31T23:58:45.000,1,0.59,1,N,260,226,1,4.0,0.5,0.5,2.0,0.0,0.3,7.3,Noida Sec-73
155,1,2018-12-31T23:56:18.000,2019-01-01T00:01:04.000,1,0.9,1,N,75,74,4,5.5,0.5,0.5,0.0,0.0,0.3,6.8,Noida Sec-28
